"","convergence","time","mu","x_C","C","A","p","tau ctr","tau enz","tau r","v ctr","v enz","v r","p ctr","p enz","p r","q ctr","q enz","q r","dq ctr","dq enz","dq r"
"1",0,0,1.29652712937563,10,0.168206278810092,0.168564844682592,0.663228876507316,0.144285714285714,0.200309609046762,0.285896979805393,440.819223987713,366.670662692787,309.364038668198,63.6039166039414,73.4476570929094,88.4462443156365,1,0.831793721189908,0.663228876507316,0,0,0.05
"2",0,0.001,1.29730412057158,10,0.16820628212723,0.168564844205038,0.663228873667733,0.144285714285714,0.200309607913762,0.28589698014318,441.083400994336,366.605687516078,309.276236165231,63.6420335720399,73.4346415253007,88.4211419496886,1,0.83179371787277,0.663228873667733,0,-0.000837395555786102,0.0492264380300727
"3",0,0.002,1.29807964952704,10,0.168207956918341,0.168514716537866,0.663277326543793,0.144285714285714,0.200309035878529,0.285932447297584,441.347080839193,366.539561101423,309.209489717376,63.6800788067978,73.4211860955653,88.4130261225265,1,0.831792043081659,0.663277326543793,0,-0.0016747911115722,0.0484528760601455
"4",0,0.003,1.29912280333421,10,0.16821074763863,0.168464519979777,0.663324732381594,0.144285714285714,0.200308082716108,0.285967984345303,441.70175313363,366.45392610763,309.10968204209,63.7312529521381,73.4036833424098,88.395472715194,1,0.83178925236137,0.663324732381594,0,-0.00279072028852578,0.0474058378007181
"5",0,0.004,1.30017280428114,10,0.168214653510239,0.168414267931635,0.663371078558126,0.144285714285714,0.200306748730095,0.286003581896703,442.058753455587,366.36999706474,309.006692086806,63.7827629985918,73.3863829442927,88.3770207668783,1,0.831785346489761,0.663371078558126,0,-0.00390587160925548,0.0463461765320972
"6",0,0.005,1.30122967995965,10,0.168219673461036,0.168363974334967,0.663416352203996,0.144285714285714,0.200305034339686,0.286039230156409,442.418091186281,366.28788108256,308.900435799859,63.8346102997348,73.3693065984532,88.3576428511709,1,0.831780326538964,0.663416352203996,0,-0.00501995079738027,0.0452736458705916
"7",0,0.006,1.30229189144791,10,0.168225806409103,0.168313650446418,0.663460543144479,0.144285714285714,0.20030293998245,0.286074921210373,442.779243092288,366.207145519112,308.791476879037,63.8867193604587,73.352367890059,88.3374974186051,1,0.831774193590897,0.663460543144479,0,-0.00613294806695031,0.0441909404821361
"8",0,0.007,1.30336136418362,10,0.168233050621173,0.168263311991696,0.663503637387131,0.144285714285714,0.200300466333334,0.28611064395316,443.14286382243,366.128555876934,308.678944530098,63.9391846372363,73.3357204801001,88.3163315942881,1,0.831766949378827,0.663503637387131,0,-0.00724421206954595,0.0430942426522529
"9",0,0.008,1.30443724495746,10,0.168241404154779,0.168212973550144,0.663545622295077,0.144285714285714,0.200297614153542,0.286146388066961,443.508663285536,366.051941593544,308.563100674715,63.9919642740559,73.3193305574587,88.2942167488115,1,0.831758595845221,0.663545622295077,0,-0.0083535336059537,0.0419849079460466
"10",0,0.009,1.30551923560554,10,0.168250864719882,0.168162649761354,0.663586485518764,0.144285714285714,0.200294384337641,0.286182143166402,443.876540105883,365.97733626911,308.443969306828,64.0450436438488,73.3032052495511,88.2711561829799,1,0.831749135280118,0.663586485518764,0,-0.00946056510320314,0.0408632236874595
"11",0,0.01,1.30660683921889,10,0.168261429749796,0.168112354856725,0.663626215393479,0.144285714285714,0.20029077788918,0.286217899131497,444.246325334421,365.904693301787,308.321664987284,64.0983983696808,73.2873356547167,88.2471792093855,1,0.831738570250204,0.663626215393479,0,-0.0105650299140336,0.039729874715122
"12",0,0.011,1.30769981053483,10,0.168273096436857,0.168062103039119,0.663664800524024,0.144285714285714,0.200286795908335,0.286253645838337,444.617935581844,365.834025229464,308.196217912514,64.152016419666,73.2717247474584,88.2222910110438,1,0.831726903563143,0.663664800524024,0,-0.0116666870607629,0.0385851305446661
"13",0,0.012,1.30879761262336,10,0.168285861594403,0.16801190820707,0.663702230198527,0.144285714285714,0.200282439638818,0.286289373355505,444.991188291941,365.765309202561,308.067733419126,64.2058714535515,73.2563684623354,88.1965183516123,1,0.831714138405597,0.663702230198527,0,-0.012765157546335,0.0374296745031533
"14",0,0.013,1.30990004920531,10,0.16829972175937,0.167961784376346,0.663738493864284,0.144285714285714,0.200277710432623,0.286325071644393,445.366016729805,365.698583944258,307.936215519782,64.2599538424434,73.2412751008085,88.1698589706046,1,0.83170027824063,0.663738493864284,0,-0.0138601649671832,0.0362636657564863
"15",0,0.014,1.31100673172511,10,0.168314673148655,0.16791174541765,0.663773581433695,0.144285714285714,0.200272609764674,0.286360730745961,445.742288786536,365.63384878408,307.801729024242,64.3142445249145,73.2264451142898,88.1423280482521,1,0.831685326851345,0.663773581433695,0,-0.0149513892847564,0.0350875694116182
"16",0,0.015,1.31211746698502,10,0.168330711715511,0.167861805302453,0.663807482982035,0.144285714285714,0.20026713921331,0.286396340605736,446.119938774905,365.571139239272,307.664280101809,64.3687340232363,73.2118862343995,88.1139239562561,1,0.831669288284489,0.663807482982035,0,-0.0160385668563912,0.0339015483398208
"17",0,0.016,1.31323188270277,10,0.168347833109944,0.167811977856987,0.66384018903307,0.144285714285714,0.200261300473518,0.286431891249231,446.498840118941,365.510453791747,307.523931779279,64.4234040743044,73.197598813001,88.0846613839383,1,0.831652166890056,0.66384018903307,0,-0.017121394432551,0.0327060510343369
"18",0,0.017,1.31434974296263,10,0.168366032706815,0.167762276952952,0.663871690340233,0.144285714285714,0.200255095347041,0.286467372646132,446.878912607293,365.451820054941,307.380703525468,64.4782431047665,73.1835890698519,88.0545425410607,1,0.831633967293185,0.663871690340233,0,-0.0181995968715487,0.0315013071631176
