"","convergence","mu","x_C","x_N","C","N","ADP","ATP","A","NT","DNA","RNA","TC","p","tau ctr","tau ntr","tau met","tau NTS","tau AAS","tau DNAp","tau RNAp","tau TCS","tau r","v ctr","v ntr","v met","v NTS","v AAS","v DNAp","v RNAp","v TCS","v r","p ctr","p ntr","p met","p NTS","p AAS","p DNAp","p RNAp","p TCS","p r","q ctr","q ntr","q met","q NTS","q AAS","q DNAp","q RNAp","q TCS","q r"
"1",4,1.13798318580329,10,10,16.6309413105323,14.794896347139,48.7894153114342,45.2808299311794,13.13609822042,11.3333273395813,6.25034034965606,12.0128244417816,19.7206114548724,152.050715347623,0.168333333333333,0.063125,0.0593400692041047,0.0700121991996911,0.0761002165214034,0.648513821485964,0.136529225575993,0.0329393765078836,0.0531326146527515,259.01859605532,127.895687179501,223.6213087675,120.902263672276,150.322015227857,7.11278222345648,88.8021191299439,601.705774015865,576.77052484986,43.6014636693122,8.07341525320601,13.2697039377759,8.464633367917,11.4395379067736,4.6127375811312,12.1240845543183,19.8198130372761,30.6453260399129,0.669446973968198,0.330553026191271,0.577960852035652,0.312478161004411,0.388515032309101,0.0183833539695767,0.229513675229742,1.55513973038478,1.4906932877218
"2",4,1.10671304358882,0.91,10,16.1804185455558,14.7445348324916,49.3916908594617,44.8347625842582,12.9543309945443,11.1411355755071,6.20295884281763,11.9128139031672,19.5112781837957,153.126077007432,0.184981684981685,0.063125,0.0594966189387609,0.0705557187017835,0.0766909985888951,0.654151702053074,0.137716147800647,0.0332510841068526,0.0534730652678769,251.818052468709,124.464383822347,217.835286598784,117.403037178408,146.792231641497,6.86489546019091,86.4677979385714,588.88140697359,564.888755792371,46.5817276544681,7.85681422878564,12.9604630381836,8.28345566589481,11.2576428296788,4.4906830497003,11.9080120409048,19.5809451922405,30.2063333075752,0.669226169403937,0.330773834504978,0.578914311274914,0.312007753522982,0.390111836370036,0.0182439965965225,0.229794935763846,1.56499839609834,1.50123604909247
"3",4,1.02379247330608,0.244878048780487,10,15.0369543291088,14.6028461879203,51.0285641880934,43.5852782584141,12.4674165788361,10.6272683057097,6.06956940293636,11.6341216677936,18.9326412469749,156.015339798552,0.23472775564409,0.063125,0.0599667619920485,0.0721071478993554,0.0783773346732124,0.670462169099211,0.141149930336676,0.0341524176968795,0.0544616847407097,232.772099256854,115.317341630705,202.345176730805,108.136897261432,137.284765450378,6.21397947093516,80.2291107611638,553.96120825178,532.424435353494,54.6380724351247,7.27940719043828,12.1339850532552,7.79744324420749,10.7600140072377,4.16623815482116,11.3243333949117,18.9191145720829,28.9967317464724,0.668713473867281,0.331286526027833,0.581302254367848,0.310658366925358,0.39439508732563,0.0178516747145187,0.230484184030922,1.59143353151186,1.52956215488776
"4",4,0.913220603613142,0.110879120879121,10,13.6086872903097,14.393594316782,53.3128473281764,41.7654265901149,11.8043150275618,9.93056903531116,5.87247169111731,11.2294358376318,18.1034262393482,159.979226938999,0.316980508754543,0.063125,0.0607391207515324,0.0744746027398463,0.0809506551520068,0.695904407931672,0.14650619114351,0.0355560123625096,0.056009687395617,207.467296639842,103.027708858349,181.39671380957,95.8266003113135,124.27929556453,5.36286214246324,71.8122778890701,505.357111566838,486.987753969323,65.7630892388268,6.50362412168325,11.0178769040106,7.13664799009511,10.0604903977786,3.73203940407006,10.5209433108669,17.9684837063526,27.2760318653155,0.668182396322877,0.331817604545808,0.58421781592298,0.30862525547167,0.400261818939996,0.0172719755621097,0.231283198376184,1.6275853171776,1.5684237935196
"5",4,0.797240343620981,0.0631055900621114,10,12.2009807572902,14.1448343676637,55.8572697308274,39.6571455049888,11.0859456757836,9.18149219634611,5.63833879795366,10.7585202166918,17.1528355726502,164.322637778929,0.430774278215225,0.063125,0.0617768132838591,0.077439322729086,0.0841731768794413,0.72857005678217,0.153383169848878,0.0373525726746835,0.057999056700475,181.014907759502,90.0468095492776,159.118765257863,82.9959602324959,110.23717908109,4.49511116073209,62.8813970549459,451.87649016528,436.682120691932,77.9765662362951,5.68420485279815,9.82985025129321,6.42715094965463,9.27901357348326,3.27500339361674,9.64494800481349,16.8787494388795,25.327151078095,0.667799606213928,0.332200395548203,0.587020428845697,0.306188425288403,0.40668664085001,0.0165833494057461,0.231981844541034,1.66706127094587,1.6110062527346
"6",4,0.689348823663936,0.040836653386453,10,10.9497827142666,13.8802264376071,58.3919991438503,37.4933600637847,10.3887096945066,8.46203782369097,5.39013285040734,10.2694961224018,16.1800519210099,168.594203076123,0.574796747967491,0.063125,0.0630247970548605,0.0808122920685429,0.0878394479005901,0.766650607436094,0.161400127881283,0.0394386776325883,0.0603125922320349,156.470963713332,77.9076362273825,138.15735906506,71.1593492209958,96.8002094055917,3.71568173982064,54.4944367395145,399.793718288691,387.400718556947,89.9390010937627,4.91791953685352,8.70733951671089,5.75055011265456,8.50287695084869,2.8486296628727,8.79540905857613,15.7673355751215,23.3651415687225,0.667599190723033,0.332400808828874,0.589462344420945,0.303608559856187,0.413007882915511,0.0158533319129628,0.232506025417338,1.70576033055353,1.65288434388356
"7",4,0.595152849423692,0.0286980609418279,10,9.8854729529725,13.6160177137179,60.7705669364659,35.4202636820739,9.74865870021405,7.80987926868147,5.14385917750115,9.79331527924618,15.2455207752191,172.566445415357,0.747425997426004,0.063125,0.0644251455665398,0.0844499145224367,0.0917933853504747,0.808639340426313,0.170239861142382,0.0417293837430686,0.0628511049164573,135.080206771032,67.2717619743705,119.694623158863,60.9217167395043,84.7635529031194,3.06138244652402,47.1200907186191,352.42627804658,342.344705679558,100.962458278349,4.24652997463214,7.7113435205419,5.14483377121124,7.78073347531139,2.47555428234987,8.02171770095414,14.7065313977471,21.5167430142596,0.667550741262294,0.332449258447849,0.591516968509301,0.301068070153036,0.418891663886893,0.0151289975808857,0.232862032413666,1.7416498595467,1.69182789622899
"8",4,0.515557828807521,0.0213645621181264,10,8.99416845789862,13.3617616073517,62.93224737866,33.5096297090793,9.17713493954605,7.23554719996434,4.90900597881005,9.34653131393682,14.3792851731445,176.154689825173,0.946774706069267,0.063125,0.0659270406795875,0.0882488635074264,0.0959226777254635,0.85335267433875,0.179653194597632,0.0441593755154874,0.0655372956292661,117.025146689041,58.2645159219348,103.987927019514,52.353868062384,74.3600464799341,2.53087646403845,40.8572617874592,310.963490339174,302.726431401762,110.79644885923,3.67794756757213,6.85561629480148,4.62016935672314,7.13281477414521,2.15973019900821,7.34013760262878,13.7319535414942,19.83987162957,0.667610088872196,0.332389915785347,0.593234797505571,0.298670597720382,0.42421239061483,0.0144382528788531,0.233084263893125,1.77399789100871,1.72700676299189
"9",4,0.449320233783108,0.0165990639625573,10,8.24940218899615,13.1224759453745,64.8645899248874,31.7855736722433,8.67326528924711,6.73636040665411,4.69034398017413,8.93615419777123,13.5922743994937,179.349560592026,1.170739348371,0.063125,0.0674897732829087,0.09213546464014,0.100147244174065,0.899875921051691,0.189447562326672,0.0466793780690463,0.0683128934964923,102.009714154598,50.7591655998433,90.8483435733017,45.2903884290882,65.5309319843379,2.10746645369504,35.6271000997193,275.403825992383,268.617954980356,119.426786276866,3.20417232849011,6.13133411088993,4.17285098164646,6.56274224638955,1.89645831610436,6.74946726666014,12.8556793151603,18.3500697498186,0.667738838549084,0.332261163206408,0.594678339455089,0.296463445836575,0.428954720390111,0.0137951293534533,0.233209147174011,1.80274822279598,1.75832902541202
"10",4,0.3944922860811,0.0133292231812554,10,7.62460351232614,12.9001697382339,66.5786886255364,30.2465135132405,8.23111013153231,6.3044407337357,4.48963490109043,8.56364814574431,12.884882598905,182.176308793671,1.41705211224197,0.063125,0.0690823357114148,0.0960569051137292,0.104409679471445,0.947503890930733,0.199474503353839,0.0492521991011593,0.071134389796975,89.5848767723041,44.5425007690536,79.9268288067359,39.4951367273467,58.0978826931615,1.77112633580065,31.2874434812972,245.204924855359,239.557161752772,126.94643885513,2.81174536104651,5.52153201997571,3.7937806010725,6.06598130996259,1.67814909450101,6.24104724964305,12.076881779561,17.0407525227787,0.667908957867633,0.33209104417359,0.595902420780867,0.294459919607292,0.433154542172704,0.0132048085326189,0.233266646367662,1.82814970254875,1.7860422430752
