"","itest","mu_opt",""
"1",1,1.49400200620985,0.413818324993129
"2",1,1.49491276469974,0.413681870670967
"3",1,1.49582214586834,0.413593068973261
"4",1,1.49714637829943,0.413439405216999
"5",1,1.49855942809896,0.413270095422174
"6",1,1.50006176390638,0.413084884967266
"7",1,1.50163527343253,0.412886845903176
"8",1,1.50329940175469,0.412672285149082
"9",1,1.50504580788744,0.412442492138132
"10",1,1.50686865909108,0.412198250969192
"11",1,1.50876005917976,0.411940742973207
"12",1,1.51071490092728,0.411670677708427
"13",1,1.51272424267766,0.411389385134717
"14",1,1.51478075131206,0.411097931547104
"15",1,1.51687790864085,0.41079726349267
"16",1,1.51900924829683,0.410488318627097
"17",1,1.52116768644318,0.41017214838986
"18",1,1.52334587744702,0.409849845295005
"19",1,1.52553607703046,0.40952258050335
"20",1,1.52773066111213,0.409191502764805
"21",1,1.52992162987427,0.408857846615169
"22",1,1.53210152175581,0.408522740836155
"23",1,1.5342623842835,0.408187440099511
"24",1,1.53639708680233,0.407853016816361
"25",1,1.53849762802957,0.407520779010004
"26",1,1.54055735145423,0.407191700203788
"27",1,1.5425682592995,0.406867166277138
"28",1,1.54452377053248,0.40654819399599
"29",1,1.54641781789185,0.406235697110806
"30",1,1.54824422507021,0.405930659381396
"31",1,1.54999642911532,0.405634252479125
"32",1,1.55166889667771,0.405347374698029
"33",1,1.55325606633234,0.405071078930832
"34",1,1.55475383268789,0.404805926741443
"35",1,1.55615761715074,0.404552908483647
"36",1,1.55746421139225,0.404312332738121
"37",1,1.5586699989351,0.404085201681033
"38",1,1.55977222107499,0.403871817622377
"39",1,1.56076879488435,0.403672834939189
"40",1,1.56165806690958,0.403488443529375
"41",1,1.5624391961061,0.403319082456429
"42",1,1.56311160948007,0.403164839446945
"43",1,1.56367568153812,0.403025939761542
"44",1,1.56413198295366,0.402902337962042
"45",1,1.56448199285841,0.402794057830737
"46",1,1.56472749865084,0.402700899148103
"47",1,1.56487116032701,0.40262268685698
"48",1,1.5649158480007,0.402559070401829
"49",1,1.56486519952856,0.402509701187976
"50",1,1.56472329029772,0.40247406361503
"51",1,1.5644947874063,0.402451636782172
"52",1,1.56418453659038,0.402441775437939
"53",1,1.56379806052881,0.402443807931124
"54",1,1.56334136912738,0.402456927294428
"55",1,1.56282063890602,0.402480334333401
"56",1,1.56224216642304,0.402513139562986
"57",1,1.56161302325225,0.402554404506099
"58",1,1.56094057393279,0.402603095387689
"59",1,1.56023172959051,0.40265823171829
"60",1,1.55949369654854,0.402718749771722
"61",1,1.55873476412622,0.402783506597154
"62",1,1.55796294824357,0.402851326504884
"63",1,1.55718429058744,0.402921244185548
"64",1,1.55640711455216,0.40299203652958
"65",1,1.55564141361423,0.40306232113008
"66",1,1.55489251961381,0.403131115980149
"67",1,1.55416463069793,0.403197586798804
"68",1,1.55347194668879,0.403260000389581
"69",1,1.55281986661989,0.403317367923
"70",1,1.55220792965404,0.403369220644093
"71",1,1.55164812147226,0.403414048039425
"72",1,1.55115472971969,0.403450115848416
"73",1,1.55072218700276,0.4034774196654
"74",1,1.55034973716632,0.403495524685501
"75",1,1.55006043225528,0.403502086390997
"76",1,1.54985365381254,0.403496743659356
"77",1,1.54972248406461,0.403479698190171
"78",1,1.54967719476344,0.403449711237709
"79",1,1.54972636773093,0.403405685233703
"80",1,1.54986632938658,0.403347656123304
"81",1,1.55009788726254,0.403275232665349
"82",1,1.55042864873551,0.403187513066032
"83",1,1.55085883251407,0.403084267767165
"84",1,1.55138099101788,0.402965977156469
"85",1,1.55199871274955,0.402832235147892
"86",1,1.55272263868118,0.402682011044949
"87",1,1.55353570295225,0.402516743401257
"88",1,1.55443814335936,0.402336393012413
"89",1,1.55543707202405,0.402140369101676
"90",1,1.55652556667221,0.401929300592157
"91",1,1.5576953902814,0.401704005806091
"92",1,1.55894780994479,0.401464461638626
"93",1,1.56027952098583,0.401211197995074
"94",1,1.5616818767562,0.400945118365455
"95",1,1.56314865297569,0.400667081006848
"96",1,1.56468074124578,0.400377220669571
"97",1,1.56627026156224,0.400076573060094
"98",1,1.56790109115331,0.399766860262568
"99",1,1.56957823112769,0.399448055527246
"100",1,1.57129487762775,0.399121024648596
"101",1,1.57303694402882,0.39878742460275
"102",1,1.5747997821211,0.398448102738506
"103",1,1.57657943790815,0.398103863309504
"104",1,1.57836666678674,0.397755859720307
"105",1,1.5801505247633,0.397405681853032
