"","V1","V2","V3","V4","V5","V6"
"1",10,1.32517105307473,2.62709905214266,0.136646312958608,1.32508728917612,0.659520027004406
"2",0.25,1.19419944901103,2.51920896838393,0.104038107562868,1.19413022799811,0.6857503632384
"3",0.1,1.04206567294629,2.38403731536668,0.0771718952213347,1.04200771128946,0.714981975828542
"4",0.05,0.866081185277887,2.20954946234296,0.0550823359866982,0.866031572104087,0.748113652025163
"5",0.03,0.712208949854668,2.03522982832836,0.039812925147376,0.712166176207421,0.777208722617244
"6",0.018,0.554315903334821,1.82685694635488,0.022670840958416,0.554290713046734,0.808035217489334
"7",0.01,0.388864617890882,1.56071168452814,0.00897960798325664,0.38885599916379,0.842868457967147
